"date","mob.bus","mob.full","mob.bus0"
2020-02-26,1.01,1.00166666666667,1.01333333333333
2020-02-27,1.0125,1.00333333333333,1.01333333333333
2020-02-28,1.0125,0.998333333333333,1.01666666666667
2020-02-29,1.0275,1.00833333333333,1.03
2020-03-01,1.025,1.02166666666667,1.02666666666667
2020-03-02,1.0525,1.06833333333333,1.05
2020-03-03,1.0375,1.035,1.03
2020-03-04,1.0475,1.05833333333333,1.03666666666667
2020-03-05,1.055,1.065,1.04
2020-03-06,0.98,0.971666666666667,0.98
2020-03-07,1.06,1.08333333333333,1.05
2020-03-08,1.0375,1.12166666666667,1.03
2020-03-09,1.0475,1.11333333333333,1.04
2020-03-10,1.02,1.03666666666667,0.996666666666667
2020-03-11,1.02,1.04,0.993333333333333
2020-03-12,1.0375,1.035,0.953333333333333
2020-03-13,0.9975,1.02666666666667,0.903333333333333
2020-03-14,0.9875,1.04833333333333,0.91
2020-03-15,0.925,1.01666666666667,0.85
2020-03-16,0.87,0.915,0.746666666666667
2020-03-17,0.7925,0.866666666666667,0.663333333333333
2020-03-18,0.7575,0.87,0.633333333333333
2020-03-19,0.69,0.801666666666667,0.576666666666667
2020-03-20,0.71,0.86,0.57
2020-03-21,0.7175,0.855,0.6
2020-03-22,0.57,0.693333333333333,0.493333333333333
2020-03-23,0.4075,0.545,0.35
2020-03-24,0.5275,0.72,0.42
2020-03-25,0.4725,0.618333333333333,0.38
2020-03-26,0.5075,0.718333333333333,0.403333333333333
2020-03-27,0.505,0.72,0.403333333333333
2020-03-28,0.48,0.6,0.406666666666667
2020-03-29,0.4625,0.585,0.393333333333333
2020-03-30,0.4625,0.623333333333333,0.37
2020-03-31,0.455,0.621666666666667,0.36
2020-04-01,0.4825,0.675,0.373333333333333
2020-04-02,0.47,0.651666666666667,0.36
2020-04-03,0.45,0.601666666666667,0.343333333333333
2020-04-04,0.5025,0.683333333333333,0.41
2020-04-05,0.4775,0.641666666666667,0.403333333333333
2020-04-06,0.4675,0.683333333333333,0.363333333333333
2020-04-07,0.4675,0.673333333333333,0.346666666666667
2020-04-08,0.4425,0.643333333333333,0.326666666666667
2020-04-09,0.4,0.58,0.29
2020-04-10,0.4025,0.575,0.286666666666667
2020-04-11,0.5,0.683333333333333,0.396666666666667
2020-04-12,0.43,0.631666666666667,0.363333333333333
2020-04-13,0.35,0.525,0.276666666666667
2020-04-14,0.47,0.678333333333333,0.35
2020-04-15,0.445,0.648333333333333,0.333333333333333
2020-04-16,0.4475,0.623333333333333,0.333333333333333
2020-04-17,0.465,0.631666666666667,0.353333333333333
2020-04-18,0.4825,0.613333333333333,0.396666666666667
2020-04-19,0.5075,0.718333333333333,0.43
2020-04-20,0.47,0.651666666666667,0.37
2020-04-21,0.4325,0.608333333333333,0.34
2020-04-22,0.4775,0.661666666666667,0.366666666666667
2020-04-23,0.475,0.645,0.363333333333333
2020-04-24,0.4325,0.581666666666667,0.333333333333333
2020-04-25,0.5675,0.801666666666667,0.47
2020-04-26,0.445,0.561666666666667,0.386666666666667
2020-04-27,0.47,0.626666666666667,0.373333333333333
2020-04-28,0.52,0.768333333333333,0.406666666666667
2020-04-29,0.4775,0.64,0.376666666666667
2020-04-30,0.465,0.615,0.363333333333333
2020-05-01,0.505,0.686666666666667,0.393333333333333
2020-05-02,0.615,0.886666666666667,0.523333333333333
2020-05-03,0.565,0.826666666666667,0.493333333333333
2020-05-04,0.525,0.72,0.426666666666667
2020-05-05,0.5425,0.748333333333333,0.43
2020-05-06,0.49,0.63,0.386666666666667
2020-05-07,0.555,0.785,0.433333333333333
2020-05-08,0.5075,0.65,0.396666666666667
2020-05-09,0.5875,0.715,0.49
2020-05-10,0.5975,0.801666666666667,0.523333333333333
2020-05-11,0.4975,0.67,0.406666666666667
